time_spent,clicked_full_article,news_type,summary_length,like_dislike,user_score
89.06401398126194,1,Sports,839,1,8.38
61.79404400955009,0,Economy,618,-1,2.78
160.80811673289477,1,Environment,1570,1,8.17
146.56491939138772,1,Environment,1418,1,9.0
72.76510070209531,1,Lifestyle,721,1,7.99
57.946255185974174,1,Sports,614,1,5.58
155.00479500723262,1,Automotive,1548,0,7.14
228.98979642044375,0,Education,2248,0,5.75
27.83823862073411,1,Lifestyle,240,0,9.24
168.41187919136337,0,Health,1681,0,5.99
140.87376648931408,0,Travel,1342,0,5.62
114.96458765232843,1,Education,1231,0,3.93
109.51298551589055,1,Sports,1088,1,9.24
183.24763329562234,1,Economy,1743,1,9.01
82.55588871031442,0,Food,837,0,5.52
96.05480614488974,1,Travel,903,1,9.22
38.16770905246074,1,Opinion,414,-1,2.99
67.98274979388457,0,Economy,729,0,3.36
52.91043994812681,1,Economy,342,-1,5.09
207.4857513259697,1,Science,2105,1,8.78
67.78752590593126,1,Weather,655,0,7.0
124.38010589511036,0,Politics,1225,0,4.73
98.3021195686045,1,Health,954,1,8.28
190.58935431386047,1,Health,1911,-1,3.26
151.67655502656942,1,Automotive,1521,1,7.96
81.47920077613122,0,Lifestyle,759,0,5.42
107.39156325022084,1,Politics,1064,1,9.27
68.53297351573342,0,others,679,1,8.15
234.37323541686337,0,Politics,2301,1,7.68
181.99092562093563,1,Environment,1789,0,7.53
219.304224288402,0,Weather,2140,1,8.38
183.28985225783995,1,Crime,1902,0,5.95
49.09462360512781,1,Politics,552,1,6.03
213.73822674718303,1,Business,2121,1,7.71
140.68380760912586,1,others,1373,1,8.16
147.77459868237108,0,Environment,1474,-1,4.29
35.834438238093455,1,Real Estate,301,0,7.9
78.01595243501728,0,Crime,758,0,5.85
173.81299842213113,1,World,1774,0,5.97
87.80587651595968,0,Weather,723,-1,5.97
144.9642537128491,1,Automotive,1344,1,8.37
209.70144509983294,1,Real Estate,2143,-1,3.97
221.93964158922705,0,Real Estate,2176,1,6.79
114.94940396451827,1,Weather,1123,-1,5.09
138.5843455092195,0,Politics,1474,-1,2.03
231.01819213609934,0,Health,2429,1,6.08
223.6682556287818,0,Sports,2274,0,5.53
55.5614834676383,1,others,560,-1,4.33
108.83510141977203,0,Food,1096,0,4.24
255.21812696880806,1,Weather,2469,0,6.85
40.69091720781133,0,Entertainment,424,-1,2.82
192.5202402197777,1,Sports,1916,0,7.58
34.25563404668277,1,Business,432,0,3.81
112.70908261459996,1,Lifestyle,1081,1,8.32
62.69064817295447,1,Economy,603,1,8.55
88.77633604184987,0,Travel,786,0,7.42
30.51410500047256,0,Weather,228,1,8.82
44.776020550726244,1,Travel,407,0,8.26
69.77277838828326,1,Entertainment,616,-1,4.39
227.10682516939892,0,Politics,2328,-1,3.04
99.90114566837818,1,Politics,971,0,7.2
138.35909961541606,0,Science,1395,0,5.49
29.595687988556485,1,Environment,428,-1,1.37
115.83858704248239,0,Health,1240,-1,2.8
173.9772922617281,1,Real Estate,1668,1,7.97
21.656845938104624,1,World,209,-1,4.6
17.3856853809179,1,Politics,212,0,4.28
114.14784900270824,1,World,1176,-1,3.85
180.58221235574666,1,Business,1821,1,8.14
66.54939931493472,1,Real Estate,681,1,7.58
123.62934715058078,0,Travel,1124,0,6.38
84.16244241600475,1,Science,890,1,5.56
236.64732525499272,0,Education,2403,0,4.91
68.44024172683694,1,Lifestyle,741,-1,2.04
98.6084221519364,1,World,1004,0,7.17
214.48542536064747,0,Travel,2214,-1,3.49
71.4284308588127,0,Economy,735,-1,3.04
152.7697017334669,1,Crime,1436,1,9.39
156.25437264805046,0,Business,1596,0,5.37
170.48643977802095,0,Food,1731,0,5.39
104.88605975485144,1,Crime,1076,0,5.48
229.5154897594432,0,Travel,2337,0,4.61
57.708640252280006,0,Weather,503,0,7.03
117.53920820698984,0,Health,1197,-1,3.26
201.76168139963417,1,Sports,1969,1,9.09
177.35944241283258,0,Science,1835,-1,2.78
150.84530082208195,1,Sports,1527,1,7.95
